ID,板卡,等级,问题,证据/影响,要求动作,责任,状态
R-01,BMS,P0 阻断,BQ76920 3S VC 映射错误,图中 CELL3/2/1/0 接 VC3/2/1/0，VC4/VC5 悬空；不符合 TI 3 节配置。,按 TI 表 9-2 重画：VC5=B+，VC4=VC3=VC2=B2，VC1=B1，VC0=B-；同步重做均衡网络并 ERC。,硬件负责人,未关闭
R-02,BMS,P0 阻断,BMS PCB 文件错误/缺失,BMS_PCB1 与主PCB板 PDF 的页面文本和版图视觉内容相同。,补交 BMS Gerber、钻孔、IPC-356/网表、BOM、CPL、叠层和真实 PCB PDF。,EDA负责人,未关闭
R-03,主控,P0 阻断,TPS16630 限流值错误,R47=166 kΩ；官方 IOL(A)=18/RILIM(kΩ)，约 0.108 A 且超出有效调节范围。,依据目标电流重算；3 A 约 6.0 kΩ，6 A 约 3.0 kΩ；完成最坏情况和热验证。,电源负责人,未关闭
R-04,主控,P0 阻断,300 W 雷达支路能力不成立,TPS16630 最大限流约 6 A；12 V 下仅约 72 W，不能承载标注的 300 W 外接 DC-DC。,拆分大功率路径或选用合适热插拔/保险/连接器/铜厚；完成线束和散热预算。,系统负责人,未关闭
R-05,主控,P1 重大,MTi-3 模拟电源串 27 Ω,R31=27 Ω，而 Xsens 单电源参考建议用低 DCR 磁珠进行隔离。,改用 DCR<=1 Ω 的磁珠或按官方参考设计处理，并测 VDDA 压降与纹波。,硬件负责人,未关闭
R-06,主控,P1 重大,U5 与 U10 电源方案装配边界不清,原理图同时出现成品 5 V/3 A 模块和 TPS5430 离散 Buck。,发布明确 DNP/BOM 变体，禁止两套输出互相回灌；分别验证软启动与环路。,EDA负责人,未关闭
R-07,主控,P1 重大,天线偏置 0 Ω 选择可能短接电源,R52/R53、R54/R55 为 3.3 V/5 V 二选一；同时焊接会短接电源。,BOM 中建立互斥变体，AOI 和首件检查必须核对。,生产负责人,未关闭
R-08,BMS,P1 重大,现有 SOP 用单一 12 V 替代 3S 节点,单电源无法提供 B1/B2 抽头，可能导致采样输入超限或误判。,首板仅用三路隔离电源串联或电芯模拟器；单通道电源只能用于主控母线测试。,测试负责人,未关闭
R-09,BMS,P1 重大,BMS 不是充电器,BQ76920 是监测/保护 AFE，不提供 3S CC/CV 充电控制。,锂离子用 12.6 V CC/CV 专用充电器；LiFePO4 用 10.95 V；电流按电芯、BMS、线束最小限值。,系统负责人,未关闭
R-10,主控,P1 重大,SY6280 输入网络需确认,SY6280 额定输入约 2.4-5.5 V，必须确认其 IN 不直接落在 3S VBAT。,用网表/万用表确认 IN=5V_SYS；若接 VBAT 必须改器件。,硬件负责人,未关闭
R-11,主控,P1 重大,MTi-3 禁布铜/磁环境未由生产包证明,PDF 不能证明全部层 keepout；周边有高电流与磁性器件风险。,在所有铜层建立 keepout，远离电感/大电流/铁磁紧固件；用 Gerber 验证。,PCB负责人,未关闭
R-12,主控,P2 中等,UM982 射频阻抗和回流路径未证明,只有 PCB PDF，缺叠层、阻抗计算和 TDR coupon。,提供 50 Ω 单端计算、叠层、制造补偿与 TDR 记录；核对 ESD 和偏置网络。,PCB负责人,未关闭
R-13,系统,P2 中等,接口命名可能误导,CN8 标为 BMS 串口，而 BQ76920 实际通过 H1 I2C 通信。,丝印/文档区分 BQ I2C 与预留 UART3，防止误插。,系统负责人,未关闭
R-14,生产,P1 重大,缺少可制造性资料,未提供 BOM MPN、封装库版本、坐标、Gerber、钻孔、叠层、阻抗、拼板和钢网规范。,补齐生产发布包并进行 DFM/DFT 评审后方可投板。,项目负责人,未关闭
R-15,系统,P2 中等,适配器总功率未闭合,Jetson 型号、雷达实际功耗、电机峰值、转换效率和线束压降未定。,用 Excel 电源预算表填入实测/规格值，按最低输入电压及 25% 裕量选型。,系统负责人,未关闭
